ORI,YEAR,MRD,CLR,State,County,Agency
MI79079,2018,2,2,Michigan,"Tuscola, MI",State Police: Tuscola County
AR03400,2017,1,1,Arkansas,"Jackson, AR",Jackson County
CA02406,2013,5,0,California,"Merced, CA",Merced
CA03308,2012,1,0,California,"Riverside, CA",Hemet
GA15500,2014,1,2,Georgia,"Whitfield, GA",Whitfield County
PA06509,2011,1,1,Pennsylvania,"Westmoreland, PA",North Huntingdon Township
FL05200,2015,5,2,Florida,"Pinellas, FL",Pinellas County
GA12200,2012,1,1,Georgia,"Rockdale, GA",Rockdale County
NJ02019,2017,2,2,New Jersey,"Union, NJ",Union Township
NY321SD,2017,1,1,New York,"Herkimer, NY",State Police: Herkimer County (D)
AR07300,2018,2,0,Arkansas,"White, AR",White County
FL05900,2015,2,0,Florida,"Seminole, FL",Seminole County
KYKSP08,2016,8,6,Kentucky,"Rowan, KY",State Police Post 8
NC02301,2017,2,2,North Carolina,"Cleveland, NC",Kings Mountain
SC04300,2018,3,3,South Carolina,"Sumter, SC",Sumter County
NB00101,2014,1,1,Nebraska,"Adams, NE",Hastings
NY00400,2012,1,0,New York,"Cattaraugus, NY",Cattaraugus County
TX10200,2019,3,2,Texas,"Harrison, TX",Harrison County
MA00316,2013,1,0,Massachusetts,"Bristol, MA",Seekonk
CA01950,2017,4,5,California,"Los Angeles, CA",Palmdale
IL01652,2013,1,0,Illinois,"Cook, IL",Homewood
MI62616,2015,1,0,Michigan,"Newaygo, MI",Newaygo
IN07903,2014,1,1,Indiana,"Marion, IN",Purdue University
NV00202,2014,12,7,Nevada,"Clark, NV",North Las Vegas
TN07401,2017,2,2,Tennessee,"Robertson, TN",Springfield
KS02801,2011,1,0,Kansas,"Finney, KS",Garden City
NC09002,2017,1,0,North Carolina,"Union, NC",Monroe
MI82770,2016,1,1,Michigan,"Wayne, MI",Sumpter Township
AL01101,2013,5,5,Alabama,"Calhoun, AL",Anniston
PA03904,2019,0,1,Pennsylvania,"Lehigh, PA",Emmaus
OK01900,2016,2,0,Oklahoma,"Creek, OK",Creek County
AK00102,2018,4,8,Alaska,"Fairbanks North Star, AK",Fairbanks
FL00100,2013,3,4,Florida,"Alachua, FL",Alachua County
MO09800,2016,1,1,Missouri,"Saline, MO",Saline County
NJNPD00,2018,75,19,New Jersey,"Essex, NJ",Newark County
NJ00426,2013,1,1,New Jersey,"Camden, NJ",Oaklyn
MI63627,2014,1,1,Michigan,"Oakland, MI",Novi
PA06612,2019,1,1,Pennsylvania,"Wyoming, PA",Tunkhannock Township
AL03801,2010,1,0,Alabama,"Houston, AL",Dothan
MD01721,2013,51,43,Maryland,"Prince George's, MD",Prince George's County Police Department
